refined_rfe,count
"vomiting,loose motion",42
l n enlargement,42
nb,42
repeated vomiting,42
loin pain,42
vp opd,41
bsi,41
pain in rs elbow,41
supplimentary report,41
tenea,41
"abdominal distension,",41
lump at anus,41
sore thr,40
trauma to r ear,40
nasal polyp,40
worm treat,40
boils,40
loose stool 3d,39
g,39
2 nd visit,39
loose motions,39
sty,39
ear pain 1d,39
heel pain,38
multiple wounds,38
"epilepsy,",38
poor v,38
upper abd,38
dib,38
daa,38
t.versi,37
arv 2nd dose given,37
limb pain,37
heart murmur,37
impaired hearing,37
suture rem,37
sqint,37
"nausea,",37
"loose motion,vomiting,",36
vomiting++,36
abn behaviour,36
bno,36
xray,36
trauma to l ua,36
admit,36
sut,36
trauma to l ll,35
"bleeding ear,",35
oral thrush,35
warm tr,35
ankle pain,35
abdominal  pain,35
tender ln,35
abnormal behavior,35
"diarrhoea,3d",35
v d,35
breast pain,34
hip pain,34
"vomiting, loose stools",34
"balanitis,",34
pytariasis,34
tooth pain,34
test,33
abd. p. vomi,33
as req,33
urine,33
raash,33
abn beh,32
trauma to l/ul,32
loose stool 2d,32
ear bleeding,32
dermatitis,32
puppy bite,32
haematoma,32
vision impairment,32
nasal,32
bow,32
l/ear pain,32
ring worm,32
ln enlargement,32
trauma to penis,32
"vomiting,1d",32
peri orbital swelling,32
whee,31
viral warts,31
eye sty,31
old,31
developmental delay,31
arv 3rd dose given,31
eye dx,31
loose st,30
viral wart,30
stunting,30
u t i,30
"growth delay,",30
penile swelling,30
hand pain,30
epistaxis,30
exema,30
lm,30
trauma to r ua,29
pain in rs ankle,29
limp,29
-2sd,29
wheezer,29
vomiting and loose motion,29
gdd,28
leg,28
phlegm,28
loos stools,28
ski,28
pv,28
short sighted,28
joint pains,27
ab. pain 1 d,27
keloid,27
ab,27
r ear pain,27
eye swelling,27
rassh,27
t. versi,27
pain in ls knee,27
l/red eye,27
sore throat 1d,27
vomiting 1 d,27
eye dis,27
thr. p.,26
rasgh,26
kj,26
ever1d,26
throat,26
nail,26
hearing,26
anal tag,26
pallor,26
over weight,26
pit rosea,25
grey hair,25
vd,25
monkey bite,25
den,25
poor learning ability,25
eye problem,25
ever 1d,25
bow leg,25
trauma to r ll,25
arv 2nd visit,25
"overweight,",25
ing hernia,25
poor apetite,25
stray dog bite,25
trauma to upper lip,25
trauma to l ear,25
trauma to abdomen,24
abd pa,24
trauma to r/ hand,24
l loin pain,24
earpain,24
vomited,24
haemangioma,24
trauma to right wrist,24
trauma to l knee,24
b/l kj pain,24
hard stools,24
"abdominal hernia other,",23
"heartburn,",23
ear trauma,23
pain in rs knee,23
seizure,23
vomitng,23
abd distention,23
asd,23
head,23
trauma r/eye,23
l/kj pain,23
o,23
rat  bite,23
trauma to r/ eye,23
report,23
dirrhoea,23
ear dx,23
ever3d,23
poor wt,23
r/s ear pain,23
1d,22
arv 2 nd dose,22
-3sd,22
pain in ls ankle,22
thyroid,22
diarroea,22
asthma,22
labial adhesions,22
trauma to r/ul,22
trauma to tongue,22
? uti,22
burns,22
lies,22
penile,22
trauma to genitalia,22
"weakness/tiredness general,",21
walking problem,21
lower abd,21
high tsh,21
de,21
boil,21
earwax,21
urin,21
shoulder pain,21
arv 4 th dose,21
wou,21
head trauma,21
bowing leg,21
adenoid,21
inguinal ln,21
teeth,21
epilepsy,21
low wt,21
knee jt pain,21
obese,20
truma,20
"hypothyroidism/myxoedema,",20
ht,20
trauma to r ankle,20
gait abnormality,20
autism,20
"pain in penis,",20
r/red eye,20
haematurea,20
leg pains,20
wt loss,20
dental pain 1d,20
drowsy,20
multiple joint pain,20
baw,20
murmer,20
snoring,20
parotid swelling,20
vision disorder,20
pain in ls wrist,20
palpitations,20
over wt,20
?uti,19
red vision,19
anorexia,19
abd distension,19
hyperpigmentation,19
tonsillitis,19
loose stools vomiting,19
nad,19
"diarrhoea,2d",19
under wt,19
mild whee,19
"multiple trauma/injuries,",19
vomitting loose stools,19
adm,19
stridor,19
"herpes zoster,",19
dysphagia,19
trauma to throat,19
reassess,19
aggressive behaviour,19
l/s ear pain,19
high esr,18
l ear pain,18
vision prob,18
arv d7,18
"asthma,",18
numbness,18
r/kj pain,18
"v,",18
pain in penis,18
r t a,18
vision prob.,18
ankle twist injury,18
ever 2d,18
b/l leg pain,18
dev delay,18
trauma to lower lip,18
orthop,18
snake bite,18
"ear injury other,",18
trauma to right ear,18
"vomiting, loose motion",18
"injury eye other,",18
unknown bite,18
delayed milestones,18
ptosis,18
blood stained stools,18
hearing problem,18
vomiting 2d,18
vomiting and loose stools,18
ear injury,18
breast tenderness,17
sore,17
"head injury other,",17
ls red eye,17
vomting,17
no uti,17
arv d3,17
weight,17
blunt trauma to nose,17
limb,17
rah,17
exzeema,17
migraine,17
rt ear pain,17
vomiting 3 times,17
r kj pain,17
sore th,17
ever2d,17
nutrition,17
bed wetting,17
murmmer,17
trauma to r elbow,17
uop,17
eye lid swelling,17
pain in l/ear,16
e n t,16
loose,16
"hypospadias,",16
drowsiness,16
hb low,16
"haematemesis/vomiting blood,",16
slipped,16
hearing impairment,16
sam,16
taeniasis,16
rs red eye,16
blister,16
trauma to l ul,16
"animal/human bite,",16
pain in rs shoulder,16
mri,16
rih,16
gum bleeding,16
sinus,16
trauma to r knee,16
poor weight,16
running nose,16
arv2nd dose,16
pneumonia,15
gray hair,15
esr,15
animal bite,15
vomitt,15
pruritus,15
"dysurea,",15
trauma to l/ eye,15
"mouth/tongue/lip disease,",15
ph,15
blinking,15
ab  pain,15
lower limb pain,15
lymph node,15
dka,15
law hb,15
trauma to r/thumb,15
trauma r/hand,15
trauma to r/elbow,15
sob on exertion,15
gestritis,15
trauma to right thumb,15
poor appetite,15
trauma l/ul,15
pain in rs wrist,15
abdpain,15
trauma to l/elbow,15
"serous otitis media,",15
eye redness,15
rv,15
knee joint pain,15
goitre,15
vs opd,14
imp,14
vomiting loose stool,14
vomitting 3times,14
trauma r/ eye,14
toungue tie,14
"hand injury,",14
sports injury-yesterday,14
tonsils,14
rt ear p,14
right ear pain,14
abn beha,14
twisted knee,14
horseness,14
squant,14
hit by a ball,14
myalgia,14
ab. pain 2 d,14
r-18,14
kyphosis,14
weakness,14
rv tom,14
trauma to l elbow,14
"weight gain,",14
renal,14
trauma to leg,14
pulling elbow,14
human bite,14
arm pain,14
"loose stool, vomiting",14
ln ix nad,14
sleepiness,14
ash,14
traum,14
"bedwetting/enuresis,",14
trauma l/ eye,14
abpain,14
"sob,rhinitis",14
delayed walking,14
breast nodule,14
palpitation,14
nystagmus,14
gh,14
ln enlarg,14
trauma to r leg,13
aneamia,13
pimples,13
2d,13
mur,13
"vomiting, low uop",13
trauma to l shoulder,13
dengue,13
ver3d,13
loose stool 4d,13
rpt,13
ear pain l/s,13
r/ej pain,13
trauma to right elbow,13
worms/other parasites,13
loose stools 1 d,13
"vomiting,loose stool",13
trauma to l/ankle,13
vomiting repeatedly,13
"loose stool,",13
d v,13
parotitis,13
vision impairement,13
thyroid enlargement,13
aleergy,13
"diarrhoea,1d",13
teania,13
injury to r/eye,13
anemia,13
"abnormal involuntary movements,",13
histology supplementary report,13
gait,13
blood stained stool,13
dry,13
penis,13
"bleeding/haemorrhage nos,",13
z,13
inguinal lump,13
dog bite on ls leg,13
arv  3rd dose,13
3d,13
pain in ls shoulder,13
lymphadenopathy,13
dizziness,13
loosemotion,13
abn walk,13
nl,13
vv,13
trauma  to  head,13
"throat pain,",12
l/e j injury,12
abd dist,12
alopesia,12
l/squint,12
trauma to l thumb,12
vomit,12
small penis,12
thigh pain,12
k,12
vomiting 4 times,12
eye tearing,12
stool,12
loose stools d2,12
vomiting 5 times,12
arv  2nd dose,12
trauma to r/ll,12
birth mark,12
arv4th dose,12
r/ear bleeding,12
rasj,12
wo,12
rt ear,12
dark urine,12
r/shoulder pain,12
trauma r/ul,12
v.wart,12
breast,12
vomiting ++,12
blinking eyes,12
bleeding,12
"vomiting, loose motions",12
eye irritation,12
b/l ear pain,12
ear pain 3d,12
papules,12
right pulled elbow,12
ver1d,12
en,12
sweat,12
pain in rs hand,12
tongue,12
vomitting and loose motion,12
pl,12
rt e,12
pain in r/ear,12
"blood test,",12
trauma to r/ankle,12
l/eye trauma,12
ad,12
aom,12
pain in ls eye,12
eye disorder,12
report reveiw,12
trauma to right lower limb,12
spinal,12
x ray,12
qw,12
abdominal distension,12
i,12
smelly urine,11
trauma l/ej,11
loose stool vomiting,11
hot tea burn,11
low,11
heart murmer,11
r/e j injury,11
mumps,11
trauma to l leg,11
trauma to ankle,11
minor trauma to l/eye,11
r/eye trauma,11
vomitig,11
bd.pain,11
pain in ear,11
all,11
trauma r/aj,11
normal,11
ear problem,11
in,11
dent,11
lower abd. p.,11
arv3rd dose,11
hair,11
ort,11
hit the head,11
eosinophilia,11
heal pain,11
rabbit bite,11
dm,11
pustular tonsilitis,11
ras,11
whezing,11
trauma to l ankle,11
gastroenteritis,11
ear disharge,11
abd. p. 1 month,11
"urination problems other,",11
vomiting and lm,11
hot water burn injury,11
headahe,11
phi,11
sur,11
plts 187,11
warm treatment,11
pr bleeding,11
"haemangioma/lymphangioma,",11
ever4d,11
giddiness,11
sleepy,11
r/leg pain,11
"otitis media,",11
abd. p. 1d,11
supplementary,11
agressive behaviour,10
dental problem,10
"mumps,",10
sole pain,10
exostosis,10
arv  4th dose,10
allegy,10
tev,10
abd.,10
remove sutures,10
diarr,10
l/loin pain,10
hit by a stone,10
"epi pain, v",10
ng,10
vomiti,10
l/ej pain,10
injury to rs eye,10
kj p,10
truama,10
"vomitting , loose motion",10
vomiting today,10
ant bite,10
r/squint,10
poly urea,10
trauma to knee,10
abd. p. nausea,10
leg p,10
trauma to l/big toe,10
"v,diarrhoea,",10
wasting,10
b/l knee joint pain,10
dev.delay,10
vomitting 2times,10
vomiting 6 times,10
dermoid,10
vomiting d1,10
l/ej injury,10
oral,10
r/eye pain,10
dpm,10
loose stool  vomiting,10
ouggh,10
pain in ls hand,10
bl leg pain,10
l/shoulder pain,10
l/ear dx,10
enurasis,10
ver2d,10
stamering,10
bee bite,10
weight loss,10
"swollen ankles/oedema,",10
loose stool    vomiting,10
trauma r/ ul,10
"adm. as requested,",10
menorrhagia,10
gastrtis,10
dog bite on rs leg,10
trauma to right ankle,10
minor trauma to r/eye,10
kj pains,9
vomiting diarrhoea,9
ibd,9
injury to l/eye,9
r/inguinal hernia,9
poor learning,9
ln enlargment,9
abd dis,9
2,9
pimosis,9
ab gait,9
pain at anus,9
hypo,9
bp,9
vomitting 3 times,9
l/aj injury,9
loose motion and vomiting,9
"diarrhoea,4d",9
n a d,9
surg,9
visual impairment,9
trauma to r/ leg,9
"vomiting,milk",9
murmure,9
worm tre,9
r hip pain,9
hearing impairement,9
joint,9
small joint pain,9
"mental retardation,",9
pruritus ani,9
loose stool 1w,9
labial adhesion,9
rt abd p,9
l/pulled elbow,9
ep pain,9
voming,9
arv 3 rd dose,9
trauma to ll,9
ear tag,9
puh,9
mild allergy,9
trauma to r/knee,9
we,9
dog bite on rs hand,9
aj pain,9
ear pain 2d,9
low uop,9
trauma to right upper limb,9
glossitis,9
periorbital oedema,9
t versi,9
itp,9
pain in right wrist,9
talepes,9
plts 193,9
hot water burns,9
dog bite on rs thigh,9
heamaturia,9
hypothyroidism,9
development delay,9
trama,9
vomoting,9
ds,9
diarrhoea and vomiting,9
hit on a wall,9
learning problems,9
trauma to right knee,9
nose,9
eye squint,9
"sputum/phlegm abnormal,",9
gerd,9
overweight,9
lymph nodes,9
walking,9
pain in r/elbow,9
injury to head,9
"loose motion, vomitting",9
pain in eyes,9
injury to eye,9
ab. pain 3 d,8
hot tempered,8
b/l ll pain,8
lump at r/inguinal area,8
loos stool,8
trauma r/ hand,8
ln enl,8
redeye,8
tearing eyes,8
r-8,8
l/ ear pain,8
unknown snake bite,8
thalepes,8
walking abnormality,8
oral lesion,8
trauma to l/ leg,8
r/ ear pain,8
slow learning,8
"loose stools, vomiting",8
pain in the penis,8
psoriasis,8
eye stye,8
review,8
elbow pain,8
"loose motion , vomitting",8
pain in rs upper limb,8
alop,8
blast injury,8
nasal bl,8
r/thumb injury,8
ear pain r/s,8
assult,8
learning problem,8
sub mental ln,8
ever,8
trauma to r ul,8
loose motion 1week,8
poor memory,8
pre bmt,8
l/eye squint,8
pruritis,8
right hand,8
hea,8
photophobia,8
ss,8
trauma/injury,8
dental injury,8
pain in r/ ear,8
arv 4th dose given,8
alergy,8
sport injury,8
raqsh,8
low plt,8
l red eye,8
blunt trauma to r/eye,8
pain at penis,8
grunting,8
hip,8
trauma to l/knee,8
diarrohea,8
plts 175,8
enlarged tonsils,8
urethritis,8
2nd dose,8
vomited 3 times,8
oral w,8
"haemorrhoids,",8
walking disorder,8
hit the head on a wall,8
thyroid nodule,8
"otitis externa,",8
hard stool,8
l/ear pain 1d,8
? squint,8
sore t,8
mouth,8
leg pain 1d,8
penile pain,8
trauma to l/ hand,8
plts 179,8
"vomiting,loose stools",8
trauma to r/ej,8
trauma l/hand,8
trauma to l big toe,8
multiple joint pains,8
loose m,8
arv 3rd  dose,8
trauma r/ear,8
throat irritation,8
epi,8
visual impairement,8
su,8
h/o trauma,8
plts 183,8
low hg,8
loose stools 3d,8
h/o uti,8
soure throat,8
bowing,8
nasal injury,8
inguinal hernia,8
woud,8
trauma to r thumb,8
trauma l/kj,8
r-22,8
peri orbital edema,8
bitten by a rat,8
loose stool 5d,8
trauma r/ ej,8
dry palms,8
ul pain,8
trauma l/leg,8
loose motion abd. p.,8
valgus,7
ix,7
blunt trauma to l/eye,7
behaviour problem,7
"lumps/swellings generalized,",7
"diarrhoea,vomiting,1d",7
dirroea,7
loose stools vomitting,7
swollen penis,7
enlarge  ln,7
suture re,7
bone age,7
lumps,7
r/hand pain,7
wor,7
r knee pain,7
t.vers,7
pain in ls 1st toe,7
bitten by a house rat,7
thr pain,7
pain at r/ear,7
trauma l/ear,7
r shoulder pain,7
papule,7
trauma to l/kj,7
"teeth/gum disease,",7
b/l ear wax,7
diarrhoea 3d,7
phy,7
uh,7
dystonia,7
talipes,7
knee,7
bleeding pv,7
l/eye redness,7
plts 157,7
"vomiting, admit",7
blepharitis,7
blunt trauma to head,7
bl red eye,7
vomiting loose stools,7
lymph gland(s) enlarged,7
blunt trauma to abdomen,7
r-34,7
"st,",7
r-28,7
tongue bite,7
trauma  to  r  hand,7
s o b,7
r/eye redness,7
sore throat 2d,7
rta head injury,7
gum swelling,7
"ear pain,",7
body swelling,7
nasal adenoid,7
dengue leaking,7
r/breast pain,7
skn,7
abd. gait,7
trauma to l/wj,7
hard lump,7
tonsili,7
r-eye,7
pain in legs,7
l/eye pain,7
trauma to l/thumb,7
"lm, v",7
arv d30,7
ear pains,7
rpt esr,7
trauma to l eye lid,7
undesended testis,7
otitis externa,7
brest pain,7
trauma to l eye brow,7
sore throat 3d,7
sneezing/,7
l/breast pain,7
lympadenopathy,7
"psoriasis,",7
"leg pain,",7
loos stools vomiting,7
v wart,7
pit ver,7
walking on toes,7
abn,7
ear vax,7
anxiety,7
ll pain,7
abnormal walking,7
anal lump,7
sob.,7
ear  pain,7
rt,7
jia,7
injury,7
small lump,7
nasal trauma,7
bee sting,7
trauma l/ ej,7
r/ankle sprain,7
r/ear pain 1d,7
neurology,7
vomiting   loose stool,7
exessive vomiting,7
prolonged exp,7
burn by hot water,7
dog bit,7
l leg pain,7
head lies,7
"naevus/mole,",7
no trauma,7
trauma l/ ul,7
r hand pain,7
ab distension,7
"vomiting,loose stool 1d",7
rasah,7
admission,7
need admission,7
r leg pain,7
tremors,7
limb swelling,7
rsah,7
l/leg pain,7
throat pain 1d,7
double vision,7
"vomiting,,diarrhoea,",7
sorethr,7
sys murmur,7
adenoids,7
sore mouth,7
"vomiting,diarrhoea,1d",7
mam,7
trauma l/ hand,7
loose  motion,7
arv  3rd  dose,7
tb,7
abd [pain,7
pain in rs ear,7
wheezi,7
"breathing problem other,",6
l/ih,6
rever,6
abnormal walk,6
trauma to l/ej,6
epitaxis,6
"diarrhoea,watery",6
heart disease,6
"urethritis,",6
blow by a ball,6
throat apin,6
vom 4t,6
pain in mouth,6
pain in r/eye,6
"vomiting,2d",6
twisting injury,6
wound at leg,6
partial ptosis,6
lih,6
abnormal posture,6
reveiw,6
"nausea,vomiting,",6
umb,6
loose motion 3times,6
r/aj injury,6
plts 198,6
dyspnoea,6
bony lumps,6
wrist pain,6
haed injury,6
meningo,6
pain in r leg,6
v  d,6
gastr,6
multiple ln,6
l/thigh pain,6
"ringing/buzzing ear,",6
r/earpain,6
trauma r/eye area,6
ab paain,6
ln tender,6
head lump,6
angular stomatitis,6
l/thalepes,6
squiral bite,6
abd. p. dysurea,6
trauma to vulva,6
"vomiting, diarrhoea",6
plts 182,6
sore troat,6
eye pains,6
multiple joint p,6
pain at l/breast,6
"heart pain,",6
aspiration,6
ls eye injury,6
reports,6
trauma r/eye yesterday,6
pain in right knee,6
r/loin pain,6
sob 1d,6
rs eye injury,6
pain in leg,6
ver,6
l/elbow pain,6
pain in rs eye,6
q,6
vomiting diarrhea,6
depression,6
re,6
aller,6
blow to head,6
"vomiting, abd. p.",6
ver4d,6
p v,6
mouth breathing,6
r/kj injury,6
abd. p. 2 weeks,6
poor orientation on studies,6
bl prolonged exp,6
loose stool     vomiting,6
autisam,6
?gastritis,6
submental ln,6
"pit alba, worm rx",6
vision less,6
trauma to r/shoulder,6
diarrhoea vom,6
trauma l/eye yesterday,6
haed lies,6
lump in penis,6
l node,6
om,6
r loin pain,6
small genitalia,6
trauma to r/ ear,6
ab.pain,6
"ab, pain",6
milk aspiration,6
naevus,6
trauma to right shoulder,6
vomiting 7 times,6
poor weigh gain,6
impe,6
bow legs vp opd,6
jont pain,6
rasdh,6
trisomy 21,6
l/ear bleeding,6
run over injury,6
impeti,6
ouigh,6
hypopig,6
leg abnormality,6
trauma to l/arm,6
bd pain,6
wheezin,6
axillary lump,6
viral,6
hypopigmetation,6
trauma  to  l  eye,6
trauma to r shoulder,6
growing pain,6
nas,6
heart,6
vmiting,6
ab. pain 1 week,6
pain in ls leg,6
millia,6
trauma to r/big toe,6
red,6
vomiting loos stools,6
trauma to r eyebrow,6
vo,6
hypopigmented,6
v.warts,6
wasp bite,6
bitten by a puppy,6
toe walking,6
tooth problem,6
pain in l/ ear,6
soethroat,6
trauma eye,6
bells palsy,6
plts 174,6
surgery,6
delayed mile stones,6
papul,6
r/periorbital trauma,6
l inguinal hernia,6
trauma to r/wj,6
trauma to l /hand,6
hypospediasis,6
abdominal,6
pe,6
pain in rs thumb,6
leg swelling,6
wound both ll,6
genu vulgus,6
loose stools d4,6
loose moton,6
plt,6
gasritis,6
p vision,6
rth,6
"hepatomegaly,",6
nt,6
trauma head,6
wheeezing,6
r/ej injury,6
anger,6
"vomitting, loose motion",6
vomitted 3 times,6
pain in throat 2d,6
squint ?,6
upper limb pain,6
radsh,6
temper tantrums,6
red e,6
hypopigmented area,6
sle,6
ear p,6
sys mur,6
lipoma,6
papular,6
plts 169,6
knee jt pain b/l,6
purpura,6
suture removel,6
r/eye injury,6
"vomiting, loose stool",6
"epi pain, regurgitation",6
heamoturia,6
eye-r,6
ver 2d,6
sub mandibular ln,6
r/knee jt pain,6
button battery ingestion,6
abd paain,6
dia,6
granuloma,6
loose motion with blood,6
sw,6
nose bleeding,6
r/ear dx,6
vomiting and loose stool,6
e nt,6
abd pauin,6
w tr,6
dematitis,5
vision red,5
tag,5
malnutrition,5
l/arm pain,5
vomiting not responding,5
abdominal distention,5
breast bud,5
rt hand,5
aggrasive behaviour,5
pain in l/eye,5
tongue pain,5
joint p.,5
ear pain 1 d,5
svt,5
undisended testis,5
trauma to r/kj,5
tr,5
plts 197,5
r/ll pain,5
"loose stool,vomiting,",5
vomitting 5times,5
abd paoin,5
enuresis,5
gastitis,5
seizure disorder,5
plts 170,5
gasstritis,5
trauma to genital area,5
?allergy,5
kj swelling,5
l/hand pain,5
dogbite,5
"vomiting,today",5
ent-r,5
sore throt,5
"vomiting,diarrhoea,2d",5
bleeding gums,5
dog bite on ls hand,5
trauma to l wrist,5
plts 199,5
aiiergy,5
? allergy,5
varus,5
vomiting  loose stools,5
vomiting 2 d,5
heezing,5
r/pulled elbow,5
polyuria,5
nhsl,5
trauma to l/periorbital area,5
bno 3d,5
er,5
abd. p. loose motion,5
b/l bow legs,5
trauma l/thumb,5
vomiting 2 days,5
learning disability,5
genu varus,5
pain in l/ knee,5
"v, loose stool",5
viral exanthema,5
vomiting 2 times,5
loose motion 4d,5
pain in r/shoulder,5
erbs palsy,5
"loose stool , vomiting",5
trauma near r/eye,5
? warts,5
ld,5
ver 1d,5
"vomiting ,",5
trauma r/ej,5
low  hb,5
abd. p. 2 months,5
ih,5
r/ kj pain,5
walking with tiptoes,5
r inguinal hernia,5
neph,5
?trauma,5
"nb,",5
ul pains,5
injury to ls eye,5
l/periorbital trauma,5
kin l,5
trauma to rs eye,5
"loose stools,v",5
4th dose,5
r/periorbital swelling,5
loose stool and vomiting,5
ever 3d,5
"hypertrophy tonsils/adenoids,",5
diarrhoea 1/52,5
"vomititng,diarrhoea",5
mild uti,5
ear lump,5
injury to r eye,5
vomitting 4 times,5
l/hand injury,5
ng tube,5
seizures,5
thooth,5
arv  2nd  dose,5
trauma l ej,5
goiter,5
lns,5
",",5
"ear pain,throat pain",5
"measles,",5
sorethoat,5
shivering,5
"paralysis/weakness,",5
herpes zoster,5
lump at l/inguinal area,5
pr xray,5
loose  stools,5
"diarrhoea,5d",5
ln enlarge,5
plts 177,5
ab behaviour,5
peri orbital oedema,5
loose motion 3d,5
gross motor delay,5
poor,5
hit over a wall,5
bony growth,5
r/arm pain,5
watery stools,5
plts 167,5
urethral dx,5
b asthma,5
abd.distension,5
trauma to periorbital area,5
ea,5
"diarrhoea,today",5
ear [pain,5
trauma to l eyelid,5
tinitus,5
plts 156,5
ankle swelling,5
ing,5
right leg pain,5
behavioral problem,5
r ear dis,5
loos stools  3d,5
pain in r ear,5
dysurea 1d,5
trauma tor thumb,5
hip migration,5
trauma to r/aj,5
plts 165,5
regurgitation,5
nodule,5
pwt gain,5
r/ear trauma,5
trauma to leye,5
poor  vision,5
respiratory distress,5
vsd,5
plts 161,5
aphasia,5
mu,5
p  v,5
abn  gait,5
tauma,5
? pull elbow,5
vom 3t,5
hand,5
"vomiting , loose stool",5
vision problem?,5
l kj pain,5
"d , v",5
worm tratment,5
l/axillary ln,5
hyp,5
submandibular lump,5
head hit over a wall,5
vomitin,5
unresponsiveness,5
pain in ls ear,5
ab p,5
devolopment delay,5
r/ankle pain,5
arv 4th dose not given,5
dog bote,5
"phymosis,",5
bleeding nose,5
breast enlargement,5
r-vs,5
l/ankle joint sprain,5
ida,5
pain in throat,5
pain in eye,5
limping gait,5
swetting,5
unplanned review,5
milk regurgitation,5
sneezing in the morning,5
myelgia,5
thr. pain,5
woun,5
injury to ear,5
?warts,5
? gastritis,5
burn with hot water,5
wt red,5
l/eye swelling,5
plantar wart,5
wopund,5
trauma to l/ll,5
pus,5
haematiuria,5
wh,5
1,5
ugh sob,5
right shoulder pain,5
minor trauma to penis,5
pain in r kj,5
soure t,5
l/s kj pain,5
"loose stool, v",5
jaw pain,5
b a,5
l/ear wax,5
diarhoea,5
wlrti,5
groin pain,5
dizz,5
"diarrhoea,4d,",5
pain at trauma site,5
ezema,5
soreth,5
3,5
trauma nose,5
trauma  to  r  ear,5
